"","X.4","X.3","X.2","X.1","X","SampleNo","NACount","NAcountno2","row","PlateNo","WellNo","SampleNo.1","match","Year","Month","Day","State","nearestCity","countryCode","Pop","Lat","Long","BoxID","latitude","longitude","flyway","flyway2","Genetic_Group","Genetic_Group2","yearSampled","monthSampled","daySampled","julianDaySampled","Transmitter","bandNumber","bandmatch","generalSampleType","newOrRecap","observerName","aliveOrDead","nestlingAge","laydateForAnalysis","howLaydateEstimated","sexBird","phaseFAC","stateProv","hallux","tarsus","tail","wing","fatScore","billDepth","culmen","mass","subterminal","cropScore","CG10_top1","CG11_phlpp1","CG12_peak1","CG13_szt2","CG14_cry1","CG15_cpne4","CG2_clock","CG3_nacc2","CG4_cpne4","CG5_scn5a","CG6_lmbr1","CG7_htr2c","CG8_npas2","CG9_npas2","lfmm1","lfmm10","lfmm12","lfmm13","lfmm14","lfmm15","lfmm2","lfmm3","lfmm4","lfmm5","lfmm6","lfmm7","lfmm8","lfmm9","lfmm11","CG1_mybbp1a","D1_80perc","D2__80perc","D3__80perc","D4__80perc","wc2.0_bio_30s_14","wc2.0_bio_30s_13","wc2.0_bio_30s_04","Latcat1","amke_CG10_top1_A","amke_CG11_phlpp1_C","amke_CG12_peak1_T","amke_CG13_szt2_A","amke_CG14_cry1_C","amke_CG15_cpne4_A","amke_CG2_clock_C","amke_CG3_nacc2_G","amke_CG4_cpne4_C","amke_CG5_scn5a_C","amke_CG6_lmbr1_C","amke_CG7_htr2c_T","amke_CG8_npas2_T","amke_CG9_npas2_T","amke_lfmm1_G","amke_lfmm10_A","amke_lfmm12_C","amke_lfmm13_T","amke_lfmm14_G","amke_lfmm15_T","amke_lfmm2_A","amke_lfmm3_T","amke_lfmm4_G","amke_lfmm5_G","amke_lfmm6_A","amke_lfmm7_A","amke_lfmm8_T","amke_lfmm9_T","amke_lfmm11","amke_CG1_mybbp1a_G","D1","D2","D3","D4"
"576",576,576,576,307,307,"18N00203",1,0,584,"MISC1","B8","18N00203",FALSE,2018,"MAY",24,"IL","Lenzburg","USA",68,38.312126,-89.848051,NA,38.312126,-89.848051,"east","central","east","east",2018,"MAY",24,144,0,"178375441",FALSE,"Feathers","New","Thomas May","Live",17,87,"Based on nestling age","Male","Nestling","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,2,2,1,0,2,1,1,1,0,2,1,0,1,2,NA,0.031923539,0.080301531,-1.278424091,0.133833474,54,106,967.4579262,"(33.9,41.8]",0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,2,2,1,0,2,1,1,1,0,2,1,0,1,2,NA,-0.466876202019774,-0.314440218802362,1.07566329869493,0.911634519607876
"577",577,577,577,308,308,"17N02022",13,12,1335,"2","A6","17N02022",FALSE,2017,"MAY",10,"IL","New Athens","USA",68,38.312126,-89.848051,NA,38.312126,-89.848051,"east","central","east","east",2017,"MAY",10,130,0,"178475433",FALSE,"Feathers","New","Thomas May","Live",15,75,"Based on nestling age","Female","Nestling","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,0,0,NA,NA,0,0,NA,0,NA,0,1,1,NA,NA,0,NA,1,0,0,NA,NA,2,2,NA,NA,0,NA,0.627894708,-0.660252144,0.379018184,-0.719699479,54,106,967.4579262,"(33.9,41.8]",1,2,NA,0,0,NA,NA,0,0,NA,0,NA,0,1,1,NA,NA,0,NA,1,0,0,NA,NA,2,2,NA,NA,0,NA,-0.0345646459659293,-0.211484212205555,0.0539987085537616,-1.12097181308558
"578",578,578,578,314,314,"17N02021",11,11,1334,"2","A5","17N02021",FALSE,2017,"MAY",10,"IL","New Athens","USA",68,38.336072,-89.756882,NA,38.336072,-89.756882,"east","central","east","east",2017,"MAY",10,130,0,"178375427",FALSE,"Feathers","New","Thomas May","Live",18,72,"Based on nestling age","Male","Nestling","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,0,1,NA,NA,0,0,NA,0,NA,1,0,1,NA,NA,0,NA,2,1,0,1,NA,1,NA,NA,0,0,0,0.971594955,-0.49082097,-1.294900872,-0.551042953,54,106,970.462639,"(33.9,41.8]",2,0,NA,0,1,NA,NA,0,0,NA,0,NA,1,0,1,NA,NA,0,NA,2,1,0,1,NA,1,NA,NA,0,0,0,0.973571593210047,0.432631540960419,-1.09747285398307,0.653871354278721
"579",579,579,579,315,315,"17N02023",1,0,1346,"3","A1","17N02023",FALSE,2017,"MAY",10,"IL","New Athens","USA",68,38.343541,-89.745896,NA,38.343541,-89.745896,"east","central","east","east",2017,"MAY",10,130,0,"178375428",FALSE,"Feathers","New","Thomas May","Live",11,79,"Based on nestling age","Unknown","Nestling","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,0,0,0,0,0,1,0,2,1,2,1,1,0,0,1,2,1,1,1,0,0,0,0,1,0,NA,1.445022497,0.77522169,0.053583877,0.125504293,54,106,970.2374026,"(33.9,41.8]",2,0,2,0,0,0,0,0,0,1,0,2,1,2,1,1,0,0,1,2,1,1,1,0,0,0,0,1,0,NA,1.67088314781121,-0.134670296742329,0.259009858008691,-0.443831891406898
"580",580,580,580,316,316,"18N00205",1,1,110,"AMKE_B1","B4","18N00205",FALSE,2018,"MAY",24,"IL","St. Libory","USA",68,38.343541,-89.745896,NA,38.343541,-89.745896,"east","central","east","east",2018,"MAY",24,144,0,"178375449",FALSE,"Feathers","New","Thomas May","Live",24,80,"Based on nestling age","Male","Nestling","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,1,0,1,1,0,0,0,1,2,NA,1,2,1,0,-1.299846744,-0.198368324,-1.666030159,0.893053486,54,106,970.2374026,"(33.9,41.8]",0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,1,0,1,1,0,0,0,1,2,NA,1,2,1,0,-1.16953060741198,0.0139717694816507,-0.406497801705061,1.99898281561328
"583",583,583,583,244,244,"17N02209",2,2,1342,"2","C2","17N02209",FALSE,2017,"MAY",15,"KS","Ottawa","USA",70,38.667747,-95.249088,NA,38.667747,-95.249088,"central","central","east","east",2017,"MAY",15,135,0,"170395267",FALSE,"Feathers","New","Scott Kimball","Live",30,65,"Based on nestling age","Female","Nestling","KS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,0,1,0,1,0,NA,0,2,0,2,1,2,NA,1,2,1,1,1,0,2,2,2,0,1,2,0,1.076465438,1.171644602,-0.337891044,0.037038634,30,138,1007.987036,"(33.9,41.8]",2,0,2,0,0,1,0,1,0,NA,0,2,0,2,1,2,NA,1,2,1,1,1,0,2,2,2,0,1,2,0,1.66506797631503,0.934709348450664,-1.08134237588161,0.116116434714246
"584",584,584,584,243,243,"17N02210",11,11,1343,"2","C3","17N02210",FALSE,2017,"MAY",26,"KS","Ottawa","USA",70,38.694859,-95.268623,NA,38.694859,-95.268623,"central","central","east","east",2017,"MAY",26,146,0,"170395272",FALSE,"Feathers","New","Scott Kimball","Live",25,81,"Based on nestling age","Male","Nestling","KS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,1,0,NA,NA,0,1,NA,0,NA,0,0,0,NA,NA,1,NA,0,2,0,NA,NA,0,2,NA,0,0,0,0.800237547,-0.69991601,2.107985976,-0.825607292,30,138,1007.642291,"(33.9,41.8]",2,0,NA,1,0,NA,NA,0,1,NA,0,NA,0,0,0,NA,NA,1,NA,0,2,0,NA,NA,0,2,NA,0,0,0,0.74179488332408,-0.2518006675192,-0.34776945834938,-1.29663132547738
"585",585,585,585,242,242,"17N02211",7,7,1344,"2","C4","17N02211",FALSE,2017,"MAY",26,"KS","Pleasant Grove","USA",70,38.817606,-95.269605,NA,38.817606,-95.269605,"central","central","east","east",2017,"MAY",26,146,0,"170395277",FALSE,"Feathers","New","Scott Kimball","Live",23,83,"Based on nestling age","Male","Nestling","KS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,0,NA,NA,0,0,NA,0,NA,0,0,0,2,NA,0,1,1,0,2,0,1,1,2,1,NA,0,0,1.000296908,-0.169607574,0.689929776,-0.972133346,29,139,1008.077602,"(33.9,41.8]",1,0,NA,0,0,NA,NA,0,0,NA,0,NA,0,0,0,2,NA,0,1,1,0,2,0,1,1,2,1,NA,0,0,0.309476638718568,0.733936324468182,0.430398313377324,-0.513817004373864
"588",588,588,588,245,245,"17N02212",12,11,1345,"2","C5","17N02212",FALSE,2017,"JUN",4,"KS","Lawrence","USA",70,38.921093,-95.206956,NA,38.921093,-95.206956,"central","central","east","east",2017,"JUN",4,155,0,"170395287",FALSE,"Feathers","New","Scott Kimball","Live",26,89,"Based on nestling age","Female","Nestling","KS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,0,NA,NA,0,0,NA,0,NA,0,0,1,NA,NA,0,NA,0,0,0,NA,NA,2,2,NA,0,NA,0,0.770963694,-2.021201168,1.41925926,-0.432974361,30,139,1015.182101,"(33.9,41.8]",2,2,NA,1,0,NA,NA,0,0,NA,0,NA,0,0,1,NA,NA,0,NA,0,0,0,NA,NA,2,2,NA,0,NA,0,0.589351047237235,-0.268168807489465,0.00583445815049231,-1.17681914953718
"593",593,593,593,219,219,"18N00307",0,0,125,"AMKE_B1","C7","18N00307",FALSE,2018,"JUN",13,"KS",NA,"USA",75,39.21852,-96.77541,"KS17",39.21852,-96.77541,"central","central","east","east",2018,"JUN",13,164,0,"189307001",FALSE,"Feathers","New","Jason Winiarski","Live",NA,145,"first instance of egg","Male","Breeding","KS",NA,NA,"107","188","1",NA,NA,"106","25","0",1,0,2,0,0,1,1,0,0,1,1,0,0,2,0,1,0,1,0,1,2,0,0,0,2,1,0,1,0,0,1.549202265,0.187287128,-0.643132065,-2.361784252,18,132,1038.023605,"(33.9,41.8]",1,0,2,0,0,1,1,0,0,1,1,0,0,2,0,1,0,1,0,1,2,0,0,0,2,1,0,1,0,0,1.05002419838454,1.01181761057802,0.470632736412342,-1.15542974607814
"594",594,594,594,220,220,"18N00308",1,1,124,"AMKE_B1","C6","18N00308",FALSE,2018,"JUN",13,"KS",NA,"USA",75,39.21852,-96.77541,"KS17",39.21852,-96.77541,"central","central","east","east",2018,"JUN",13,164,0,"189307002",FALSE,"Feathers","New","Jason Winiarski","Live",NA,145,"first instance of egg","Female","Breeding","KS",NA,NA,"124","191","1",NA,NA,"131",NA,"0",0,0,0,1,0,0,0,0,0,0,0,2,0,0,NA,2,1,0,0,1,0,2,0,0,2,1,0,2,2,0,-1.152125918,-0.546779036,0.751683911,0.849373255,18,132,1038.023605,"(33.9,41.8]",0,0,0,1,0,0,0,0,0,0,0,2,0,0,NA,2,1,0,0,1,0,2,0,0,2,1,0,2,2,0,-1.19907211728796,0.586129380031659,1.0879764985094,0.603582595819186
"595",595,595,595,221,221,"18N00284",2,2,197,"AMKE_B2","A9","18N00284",FALSE,2018,"JUL",16,"KS",NA,"USA",75,39.21852,-96.77541,"KS17",39.21852,-96.77541,"central","central","east","east",2018,"JUL",16,197,0,"183359435",FALSE,"Feathers","New","Kathleen Callery","Live",NA,145,"first instance of egg","Female","Nestling","KS","8.39","35.11","40","108","1","9.9","12.08","125.6",NA,"0",1,NA,NA,1,0,0,1,0,0,1,1,1,0,1,0,2,0,0,0,1,1,1,0,0,2,0,0,1,0,0,0.976637292,-0.487415752,0.729791266,-1.825135497,18,132,1038.023605,"(33.9,41.8]",1,NA,NA,1,0,0,1,0,0,1,1,1,0,1,0,2,0,0,0,1,1,1,0,0,2,0,0,1,0,0,0.0573097042897873,0.559214935834351,0.172289814373051,-1.58485898891675
"626",626,626,626,744,744,"17N02349",0,0,1414,"3","E7","17N02349",FALSE,2017,"JUL",22,"MA",NA,"USA",82,41.75,-70.75,NA,41.75,-70.75,"east","east","east","east",2017,"JUL",22,203,0,"178379374",FALSE,"Feathers","New","Joey Mason","Live",18,145,"Based on nestling age","Female","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,2,1,2,2,1,1,2,0,2,2,0,0,1.041084104,1.272563695,-0.365024101,1.518171219,NA,NA,NA,"(33.9,41.8]",2,0,1,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,2,1,2,2,1,1,2,0,2,2,0,0,0.775020260646137,-0.755774097569241,0.964204371719863,0.971383416444851
"627",627,627,627,745,745,"17N02351",0,0,1416,"3","E9","17N02351",FALSE,2017,"JUL",27,"MA",NA,"USA",82,41.75,-70.75,NA,41.75,-70.75,"east","east","east","east",2017,"JUL",27,208,0,"178379352",FALSE,"Feathers","New","Joey Mason","Live",17,151,"Based on nestling age","Male","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,1,0,0,0,0,0,0,1,2,1,1,0,1,0,1,0,1,1,1,1,0,1,0,2,1,0,0,1.443224561,-0.211834851,-1.270953163,0.836597311,NA,NA,NA,"(33.9,41.8]",2,0,1,1,0,0,0,0,0,0,1,2,1,1,0,1,0,1,0,1,1,1,1,0,1,0,2,1,0,0,0.768002197990904,0.0238249239949319,1.11367709968799,0.366707757304515
"628",628,628,628,746,746,"17N02350",4,4,1415,"3","E8","17N02350",FALSE,2017,"JUL",27,"MA",NA,"USA",82,41.75,-70.75,NA,41.75,-70.75,"east","east","east","east",2017,"JUL",27,208,0,"178379350",FALSE,"Feathers","New","Joey Mason","Live",17,151,"Based on nestling age","Female","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,0,NA,NA,0,0,NA,0,2,0,1,0,1,0,1,0,1,1,0,0,2,2,2,2,2,0,1,1.006449943,0.31514877,-0.087826298,-0.912608772,NA,NA,NA,"(33.9,41.8]",1,0,NA,0,0,NA,NA,0,0,NA,0,2,0,1,0,1,0,1,0,1,1,0,0,2,2,2,2,2,0,1,0.309476638718568,0.733936324468182,0.430398313377324,-0.513817004373864
"633",633,633,633,750,750,"17N02348",0,0,1413,"3","E6","17N02348",FALSE,2017,"JUN",28,"MA",NA,"USA",83,41.91666667,-70.75,NA,41.91666667,-70.75,"east","east","east","east",2017,"JUN",28,179,0,"178379361",FALSE,"Feathers","New","Joey Mason","Live",14,125,"Based on nestling age","Female","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,1,2,0,1,2,0,1,2,1,0,0,0.599999869,0.769698313,0.98578464,0.557876137,85,121,872.5702169,"(41.8,43.7]",2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,1,2,0,1,2,0,1,2,1,0,0,1.34037344770888,-0.459968946928616,-1.18598757911891,0.423913120714195
"634",634,634,634,751,751,"17N02347",0,0,1412,"3","E5","17N02347",FALSE,2017,"JUN",28,"MA",NA,"USA",83,41.91666667,-70.75,NA,41.91666667,-70.75,"east","east","east","east",2017,"JUN",28,179,0,"178379360",FALSE,"Feathers","New","Joey Mason","Live",14,125,"Based on nestling age","Female","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,0,2,1,2,0,2,1,0,2,2,0,0,-0.104207594,0.54580432,0.184281982,1.389991065,85,121,872.5702169,"(41.8,43.7]",0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,0,2,1,2,0,2,1,0,2,2,0,0,0.261730999135239,-0.568784933025463,1.09157275334358,0.885910365699652
"635",635,635,635,752,752,"17N02344",0,0,1411,"3","E4","17N02344",FALSE,2017,"JUN",17,"MA",NA,"USA",83,41.91666667,-70.75,NA,41.91666667,-70.75,"east","east","east","east",2017,"JUN",17,168,0,"178379343",FALSE,"Feathers","New","Joey Mason","Live",16,112,"Based on nestling age","Male","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,2,1,1,0,0,1,0,0,0,0,1.265059527,0.556132403,0.990398994,1.153187079,85,121,872.5702169,"(41.8,43.7]",1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,2,1,1,0,0,1,0,0,0,0,0.911062077854385,0.0118449186161477,1.07179874331872,0.495008017625898
"636",636,636,636,753,753,"17N02343",0,0,1410,"3","E3","17N02343",FALSE,2017,"JUN",17,"MA",NA,"USA",83,41.91666667,-70.75,NA,41.91666667,-70.75,"east","east","east","east",2017,"JUN",17,168,0,"178379342",FALSE,"Feathers","New","Joey Mason","Live",16,112,"Based on nestling age","Female","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,2,1,1,2,0,0,1.543876352,-1.153527028,0.297742928,0.567660365,85,121,872.5702169,"(41.8,43.7]",1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,2,1,1,2,0,0,1.04696745460805,-0.0779857014584182,0.30717410841196,-0.387984554955295
"637",637,637,637,754,754,"17N02352",1,1,1417,"3","E10","17N02352",FALSE,2017,"JUL",31,"MA",NA,"USA",83,41.91666667,-70.75,NA,41.91666667,-70.75,"east","east","east","east",2017,"JUL",31,212,0,"178379341",FALSE,"Feathers","Recap","Joey Mason","Live",NA,NA,NA,"Female","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,0,0,NA,0,0,0,0,1,2,1,1,2,1,1,0,2,0,1,1,2,2,2,1,0,1,2,0,1.324785781,0.465050517,-1.693648511,0.457199067,85,121,872.5702169,"(41.8,43.7]",1,0,2,0,0,NA,0,0,0,0,1,2,1,1,2,1,1,0,2,0,1,1,2,2,2,1,0,1,2,0,0.872693705942752,-0.173835194944258,1.17775080473991,0.396830939847894
"638",638,638,638,688,688,"17N02296",9,9,1403,"2","F8","17N02296",FALSE,2017,"JUL",7,"MA",NA,"USA",84,42.21645,-72.659083,NA,42.21645,-72.659083,"east","east","east","east",2017,"JUL",7,188,0,"159367761",FALSE,"Feathers","New","Anthony Hill","Live",24,124,"Based on nestling age","Male","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,0,0,NA,NA,0,1,NA,0,NA,2,0,1,NA,NA,0,2,2,0,2,0,NA,0,2,NA,1,0,0,0.739040192,-0.271043369,0.826291189,-0.73274091,83,107,954.9405074,"(41.8,43.7]",2,0,NA,0,0,NA,NA,0,1,NA,0,NA,2,0,1,NA,NA,0,2,2,0,2,0,NA,0,2,NA,1,0,0,0.71044457406768,-1.21707980264378,-0.391290124896323,-0.79013274411505
"639",639,639,639,687,687,"17N02297",5,5,1404,"2","F9","17N02297",FALSE,2017,"JUL",10,"MA",NA,"USA",84,42.284543,-72.690907,NA,42.284543,-72.690907,"east","east","east","east",2017,"JUL",10,191,0,"159367767",FALSE,"Feathers","New","Anthony Hill","Live",21,130,"Based on nestling age","Male","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,0,0,0,NA,0,0,NA,0,NA,1,1,2,0,NA,2,1,1,2,0,1,0,0,2,2,2,2,0,1.078847169,0.856048888,0.040045988,-0.568588826,79,107,970.0738031,"(41.8,43.7]",2,0,NA,0,0,0,NA,0,0,NA,0,NA,1,1,2,0,NA,2,1,1,2,0,1,0,0,2,2,2,2,0,0.912679774077668,0.0395100163858495,0.353480779684456,-0.235030284153046
"640",640,640,640,689,689,"17N02298",9,9,1405,"2","F10","17N02298",FALSE,2017,"JUL",28,"MA",NA,"USA",84,42.302498,-72.633495,NA,42.302498,-72.633495,"east","east","east","east",2017,"JUL",28,209,0,"159367769",FALSE,"Feathers","New","Anthony Hill","Live",18,151,"Based on nestling age","Male","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,0,0,NA,NA,1,0,NA,1,NA,1,1,0,NA,NA,0,NA,1,1,0,0,NA,2,2,2,2,0,1,0.62747404,-0.24053935,-1.419961995,-1.239404757,77,105,965.7720976,"(41.8,43.7]",2,1,NA,0,0,NA,NA,1,0,NA,1,NA,1,1,0,NA,NA,0,NA,1,1,0,0,NA,2,2,2,2,0,1,0.547973426422922,0.0600676812578987,-1.36783462858841,-0.563280992962385
"641",641,641,641,693,693,"17N02295",11,11,1402,"2","F7","17N02295",FALSE,2017,"JUN",28,"MA",NA,"USA",84,42.340529,-72.568817,NA,42.340529,-72.568817,"east","east","east","east",2017,"JUN",28,179,0,"159367755",FALSE,"Feathers","New","Anthony Hill","Live",23,116,"Based on nestling age","Female","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,0,NA,NA,0,1,NA,1,NA,2,0,1,NA,NA,0,NA,2,2,1,NA,NA,2,2,NA,1,0,0,0.859963132,-0.790992955,-0.576059187,-1.521593206,75,104,965.4893567,"(41.8,43.7]",1,0,NA,0,0,NA,NA,0,1,NA,1,NA,2,0,1,NA,NA,0,NA,2,2,1,NA,NA,2,2,NA,1,0,0,0.0688730667969464,-0.708333608121851,-0.20842052978227,-1.16709654211387
"642",642,642,642,692,692,"13N1360",14,13,1446,"6","C9","13N1360",FALSE,2013,"JUN",18,"MA","Hadley","USA",84,42.340705,-72.569096,NA,42.340705,-72.569096,"east","east","east","east",2013,"JUN",18,169,0,"178385801",FALSE,"Feathers",NA,"Andrew Vitz","Live",NA,NA,NA,"Male","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,1,1,1,1,1,NA,1,1,NA,1,1,NA,NA,1,1,1,NA,0,NA,0.557491675,0.738315315,-0.798461094,0.367771662,75,104,965.4893567,"(41.8,43.7]",NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,1,1,1,1,1,NA,1,1,NA,1,1,NA,NA,1,1,1,NA,0,NA,0.166793549634511,1.10753970525636,-0.933469192155482,1.29349190722821
"643",643,643,643,691,691,"17N02293",12,12,1400,"2","F5","17N02293",FALSE,2017,"JUN",28,"MA",NA,"USA",84,42.367166,-72.583088,NA,42.367166,-72.583088,"east","east","east","east",2017,"JUN",28,179,0,"159367745",FALSE,"Feathers","New","Anthony Hill","Live",23,116,"Based on nestling age","Female","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,1,NA,NA,0,0,NA,0,NA,1,1,1,NA,NA,0,NA,0,0,1,NA,NA,0,2,NA,0,0,1,1.081588367,0.273365627,-0.771312862,-0.334715797,76,105,986.0376651,"(41.8,43.7]",2,0,NA,NA,1,NA,NA,0,0,NA,0,NA,1,1,1,NA,NA,0,NA,0,0,1,NA,NA,0,2,NA,0,0,1,0.973571593210047,0.432631540960419,-1.09747285398307,0.653871354278721
"644",644,644,644,694,694,"17N02294",13,13,1401,"2","F6","17N02294",FALSE,2017,"JUN",28,"MA",NA,"USA",84,42.382122,-72.55,NA,42.382122,-72.55,"east","east","east","east",2017,"JUN",28,179,0,"1593-67750",FALSE,"Feathers","New","Anthony Hill","Live",23,116,"Based on nestling age","Female","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,0,NA,NA,0,1,NA,0,NA,2,0,0,NA,NA,NA,NA,0,0,1,NA,NA,0,2,NA,1,0,1,0.828304082,-0.773259076,1.150956374,-0.449680964,74,103,989.3488655,"(41.8,43.7]",2,0,NA,NA,0,NA,NA,0,1,NA,0,NA,2,0,0,NA,NA,NA,NA,0,0,1,NA,NA,0,2,NA,1,0,1,0.71044457406768,-1.21707980264378,-0.391290124896323,-0.79013274411505
"645",645,645,645,695,695,"14N1770",0,0,1363,"1","A4","14N1770",FALSE,2014,"JUL",1,"MA","Hadley","USA",84,42.382222,-72.55,NA,42.382222,-72.55,"east","east","east","east",2014,"JUL",1,182,0,"178385831",FALSE,"Feathers","New","Andrew Vitz","Live",NA,NA,NA,"Female","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,1,0,0,1,0,2,1,1,1,1,0,0,1,1,0,1,0,2,2,0,2,2,2,1,1.441872983,-0.101318045,-0.885679853,-0.947228846,74,103,989.3488655,"(41.8,43.7]",1,0,1,0,0,0,1,0,0,1,0,2,1,1,1,1,0,0,1,1,0,1,0,2,2,0,2,2,2,1,0.318360253453032,0.176359012764682,0.29126465376331,-0.36226040104707
"646",646,646,646,696,696,"14N1769",0,0,1362,"1","A3","14N1769",FALSE,2014,"JUN",20,"MA","Hadley","USA",84,42.382222,-72.55,NA,42.382222,-72.55,"east","east","east","east",2014,"JUN",20,171,0,"159367710",FALSE,"Feathers",NA,"Andrew Vitz","Live",NA,NA,NA,"Male","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,0,2,0,0,0,0,2,0,0,1,1,1,0,2,1,2,1,1,2,2,2,2,2,0,0,0.919900009,-2.259419985,0.958802844,0.16154262,74,103,989.3488655,"(41.8,43.7]",2,1,1,1,0,0,2,0,0,0,0,2,0,0,1,1,1,0,2,1,2,1,1,2,2,2,2,2,0,0,0.462326911066382,-0.735922023253248,0.631322835994082,-0.142274163468209
"647",647,647,647,697,697,"14N1762",0,0,1361,"1","A2","14N1762",FALSE,2014,"JUN",11,"MA","Hadley","USA",84,42.382222,-72.55,NA,42.382222,-72.55,"east","east","east","east",2014,"JUN",11,162,0,"159367701",FALSE,"Feathers","New","Andrew Vitz","Live",NA,NA,NA,"Unknown","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,0,0,1,0,0,0,1,0,2,1,0,0,2,1,1,1,1,1,2,0,2,0,1,1,1,0,0,1.103011511,-1.163786242,0.961258744,0.206598632,74,103,989.3488655,"(41.8,43.7]",2,1,2,0,0,1,0,0,0,1,0,2,1,0,0,2,1,1,1,1,1,2,0,2,0,1,1,1,0,0,1.32683948897505,-1.08009735755091,-0.117392344264032,-1.05099088995763
"648",648,648,648,699,699,"14N1771",0,0,1364,"1","A5","14N1771",FALSE,2014,"JUL",1,"MA","Amherst","USA",84,42.41674,-72.53704,NA,42.41674,-72.53704,"east","east","east","east",2014,"JUL",1,182,0,"178385836",FALSE,"Feathers","New","Andrew Vitz","Live",NA,NA,NA,"Female","Nestling","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,2,0,0,0,0,1,2,1,2,0,1,0,0,0,2,1,1,1,0,0,1,1,2,0,0,0.20019677,1.004697923,-0.945423021,0.262280364,74,103,982.7592326,"(41.8,43.7]",0,0,1,0,0,2,0,0,0,0,1,2,1,2,0,1,0,0,0,2,1,1,1,0,0,1,1,2,0,0,-0.484532016087343,0.137621380435654,1.21036864340571,0.478823385157451
"649",649,649,649,196,196,"17N02861",3,3,198,"AMKE_B2","A10","17N02861",FALSE,2017,"JUN",18,"MB","Winnipeg","CAN",85,49.941598,-97.03019,NA,49.941598,-97.03019,"central","central","east","east",2017,"JUN",18,169,0,"MB1",FALSE,"Feathers","New","Rick Onskie","Live",23,106,"Based on nestling age","Male","Nestling","MB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,1,1,0,0,0,1,1,0,0,-0.317329414,-0.808542754,1.053086978,0.026925696,14,98,1373.394915,"(43.7,67.6]",0,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,1,1,0,0,0,1,1,0,0,-0.727926751183019,0.0684157042673068,0.956688459304669,-0.310964068261808
